ID,RADIO_ID,RADIO_NAME,RADIO_GENRE,RADIO_MARKET,RADIO_CITY,RADIO_CC,VALID,TRACK_NAME,ISRC,ALBUM_NAME,ARTIST_NAME,SPOTIFY_PLAYLIST_COUNT,CM_ALBUM_ID,GENRES,CM_ARTIST,ARTIST_CODE,SPOTIFY_ARTIST_IDS,SPOTIFY_RELATED_ARTISTS_IDS,ARTIST_GENRE
369897,195767,bigFM Deutschlands biggste Beats,Contemporary hit radio,,Stuttgart,DE,TRUE,感情线,TWCC32005538,《爱情魔发师》电视原声,183Club,74,"[
  7650586
]","[
  ""Others""
]",128013,TW,"[
  ""1wtV12n7rm8NWRexOdMcoO"",
  ""6K2GJS1TteeIvHnQOUuuS0""
]","[
  ""0HhDpqSgbrM6Nf6x596xYl"",
  ""5eeqklRzIiu6Dxnhff2VIX"",
  ""2YyCcOAo9HUfReP3xbe65c"",
  ""2MMJLwVaNS3bGjdS7KBGDk"",
  ""5XHBjJm3bCgQCjpnInCxfT"",
  ""4vRnvRld46Z0TyLZ9xi5xE"",
  ""3RWZ5FYjY00IPNftsmUJwu"",
  ""6GUGvmk5XZesTWRQdkp69u"",
  ""33ApZ6LzfimooQNIKqf4jo"",
  ""5ri2ahxoNuzwLJ64LZv4DH"",
  ""6WJGQHL6suZojzFHbcbKY6"",
  ""5VoPDZGQEbv6tyzsY0L7Fv"",
  ""2GzmpDXimCEph6SAw4YdNi"",
  ""1YmWActCNjKmuIz1TSgSRx"",
  ""0RHCogLyWWnNLqpYZMaLK7"",
  ""1MgybycH8k36NX0Ifzlddb"",
  ""0ifxzRj9tztRbo8Dvj1tg9"",
  ""2PvxkWnXNsFWiZVnXSf4Mq"",
  ""4qSt56IW0TOy5OfQdIsl4g"",
  ""5WtIPUBqNI9wBuVdzbeG4L"",
  ""5NKGqVsjoayAzsh27iGGyB"",
  ""0f5x4P8SybbRdpVr4idUwd"",
  ""37Ge9MTQaJqJknImNwYhWF"",
  ""3pUBKp1x55Y2pj7GV1jDDi"",
  ""2EEc5gvDHFajjVXkBFbi2c"",
  ""6ksmwGJ7ECvNHvTGb8uMMK"",
  ""6DaHEEhEmDQxDXaddxkpPb"",
  ""5cwsfjgk6DOGznwODBzslY""
]","[
  ""Pop"",
  ""Mandopop""
]"
369029,195637,bigFM Balkan,Contemporary hit radio,,Stuttgart,DE,TRUE,Story of My Life,USSM10022478,Social Distortion,Social Distortion,17492,"[
  7949408,
  3953242,
  852113
]","[
  ""Rock"",
  ""Punk"",
  ""Alternative""
]",75710,US,"[
  ""16nn7kCHPWIB6uK09GQCNI""
]","[
  ""2yJwXpWAQOOl5XFzbCxLs9"",
  ""0cOVRC8EOwDwXrs3JTrRN5"",
  ""1FGH4Bh7g9W6V4fUcKZWp5"",
  ""66riGCPfih1Xqk81dDvpvf"",
  ""0spqoVkfVzRyAPmA6ZY5F9"",
  ""4ubY8RYfXkcEqgjEMDuLYl"",
  ""30sqtiTKIb1oDve0SdYayT"",
  ""6xTk3EK5T9UzudENVvu9YB"",
  ""4S2yOnmsWW97dT87yVoaSZ"",
  ""64HBI5GPR0TqM0TyAKu0nG"",
  ""6i0KVTOvm96T55mbp742ks"",
  ""6f9zLIMqyEu7abKhGMFr5q"",
  ""3mvTAjG7rcyk7DQzLwauzV"",
  ""4l9ufn9GC6LLYXvIanDlLd"",
  ""4AqIRTZF6DDmKmdorgFug6"",
  ""7v3ZMFl1E6X4isdEaOSnk3"",
  ""7MlyHuGRHi31yYlrttDqgT"",
  ""18XRGxd1b484f2h06cwvJJ"",
  ""1r2U8cAvK4omurH0XzwX7C"",
  ""2zIenWuthqTgWumViRZCZV""
]","[
  ""Punk"",
  ""Alternative"",
  ""Rock""
]"
299984,216973,WKSS Kiss 95.7 FM,Top 40,Hartford,Hartford-Meriden,US,TRUE,September Song - Lifelines,USWB10104073,Lifelines,"Peter, Paul and Mary",6,"[
  14174359,
  5154404,
  3989316,
  7826453
]","[
  ""Rock"",
  ""Singer/Songwriter"",
  ""Pop""
]",212194,US,"[
  ""6yrBBtqX2gKCHCrZOYBDrB""
]","[
  ""1R6Hx1tJ2VOUyodEpC12xM"",
  ""77OdfWXrYy6DcYPzmUOr6a"",
  ""5yzE49FicYiSxN61oaxkNn"",
  ""6jdObwsrIjSRnBbMw6lPBj"",
  ""0B6QEFtRnneEzb4iqjI0Nw"",
  ""6kEsKkXuE4olX7m3mNLZkS"",
  ""71lGEtP9qYXDsSXjfexTqO"",
  ""1gRNBaI4yn6wCCTvRhGWh8"",
  ""48YxSlb23RAaCd4RyHcV9V"",
  ""2mDlls63YpRsMjgpyXxyu6"",
  ""42q4Ivs7tAiCZ5C7eG5q4c"",
  ""4FtSnMlCVxCswABUmdhwpm"",
  ""1EevBGfUh3RSQSGpluxgBm"",
  ""1P9syEkl41IFowWIJN7ZBY"",
  ""0cA5Tg15TwARIRZeiNT1RO"",
  ""7emRV8AluG3d4e5T0DZiK9"",
  ""32HPpJAhgnGPT3V7UOggzi"",
  ""23rleGXVOVVgTk3xgtmfE4"",
  ""3qtcbDvdIgQOXkPbtRvBaQ"",
  ""7dedWAqd0IKTdCiqiadUrV""
]","[
  ""Folk""
]"
214952,189822,Smooth Radio London 102.2,Adult Contemporary,,London,GB,TRUE,Deck The Halls,USCA29401210,Plugged In For The Holidays,Red Hot Chili Peppers,82,"[
  3993341,
  16567287,
  3180098,
  1331369,
  1272319
]","[
  ""Alternative""
]",802,US,"[
  ""0L8ExT028jH3ddEcZwqJJ5""
]","[
  ""3YcBF2ttyueytpXtEzn1Za"",
  ""7Ey4PD4MYsKc5I2dolUwbH"",
  ""6olE6TJLqED3rqDCT0FyPh"",
  ""2UazAtjfzqBF0Nho2awK4z"",
  ""64tNsm6TnZe2zpcMVMOoHL"",
  ""40Yq4vzPs9VNUrIBG5Jr2i"",
  ""2d0hyoQ5ynDBnkvAbJKORj"",
  ""5eAWCfyUhZtHHtBdNk56l1"",
  ""4F84IBURUo98rz4r61KF70"",
  ""5LfGQac0EIXyAN8aUwmNAQ"",
  ""5xUf6j4upBrXZPg6AI4MRK"",
  ""1w5Kfo2jwwIPruYS2UWh56"",
  ""7jy3rLJdDQY21OgRLCZ9sD"",
  ""776Uo845nYHJpNaStv1Ds4"",
  ""6FBDaR13swtiWwGhX1WQsP"",
  ""36QJpDe2go2KgaRleHCDTp"",
  ""7oPftvlwr6VrsViSDV7fJY"",
  ""165ZgPlLkK7bf5bDoFc6Sb"",
  ""2ziB7fzrXBoh1HUPS6sVFn"",
  ""4pejUc4iciQfgdX6OKulQn""
]","[
  ""Rock"",
  ""Pop"",
  ""Alternative""
]"
215417,247547,Outlaw Country,,,Washington,US,TRUE,No Goodbyes,AUUY10700035,No Goodbyes,Rudely Interrupted,2,"[
  4045525,
  13062474
]","[
  ""Alternative"",
  ""Indie Rock""
]",750977,AU,"[
  ""3g9WMq2EajSG93euSl0EzO""
]","[
  ""2fczAptz6g62e12F9LxYI6"",
  ""0fVhP9fCtZ2f0Fy9Ie7Dh8"",
  ""06y1hH4hu3rcTUXHJevPCf"",
  ""47yawJswuSfSvizYhItoOP"",
  ""1iQVsRr2JalWIOLQa4T7O6""
]","[
  ""Rock"",
  ""Alternative"",
  ""Indie Rock""
]"
214582,299278,WHOM 94.9 HOM,,,Portland,US,FALSE,Around the World in 80 Days,GBURZ1311101,Down to Earth + More Music from the Soil (Bonus Track Version),Ramsey Lewis,4,"[
  2270102,
  623936
]","[
  ""Jazz""
]",317600,US,"[
  ""4jZOiPysIzYxbDcDEOZmhu""
]","[
  ""0GX5PlFlvOiEdNvA7YHJzs"",
  ""2hdpXvaQJHBCZIVUd6cLvK"",
  ""7Kfrmups2Z3ncDQmNS5jRc"",
  ""4H2b90USTVSstPktwUsDZE"",
  ""2o346NHhUAlVxl5uXBVxK7"",
  ""3ZUZYvTkSr7kJQyAXVpqaL"",
  ""2iomCGY0KmzcfTQoTL4VOl"",
  ""7wpE9ePlaLVOdFrSs9BX8B"",
  ""3Bhgbs9kIwl8SuU0eIqN6b"",
  ""6BufIg68WvvzrEqoDI19Kl"",
  ""0bcDOCWIbvWApEIB7l1uZ4"",
  ""4yh5g0DWkL6kRlCH1FPAvC"",
  ""1A0QR12gcj2L5hYh1WWDeh"",
  ""2dRsXWVnkku2cMDtV1h6NP"",
  ""5GXruybcLmXPjR9rKKFyS6"",
  ""3EB0uKE2lGw6BB1UFJrONl"",
  ""4VVP1CLZbbGay53RL2Gbe6"",
  ""6ycoXr0Ayd89vFUT6BOiWo"",
  ""07tYu4BGrfeogBobCefkHI"",
  ""0JbqyQSsMK7TavqlR0yNON""
]","[
  ""R&B/Soul"",
  ""Jazz"",
  ""Pop""
]"
740365,134183,Downtown Radio,,,Belfast,GB,TRUE,Sweet Feelin',GBRKQ2206618,Sweet Feelin',"Dynamique, Boogietraxx",5,"[
  22288802
]","[
  ""Others""
]",677776,FI,"[
  ""437JizyMdb2mAjV3bD5rbw""
]","[
  ""3zMtO6jGrY8SqGt6PYnGDW"",
  ""6Tb9Wd1i0YAYLHG0dqaHpV"",
  ""06KKbbYIDTd6uTfC78vh0C"",
  ""2zmvxnkdTbeSIRrzxhPgEe"",
  ""59kjaYWCuIsPQ2DhtI2CNL"",
  ""2RGRMN9kdAsMUTffhKpBNl"",
  ""0mHHsCzTJvaErLH1vCZXst"",
  ""2fF148KS0xR8q2uhQ7Vbcx"",
  ""2DFXtR4d90UMgOqhqwEYNe"",
  ""52T1Dt6TosFeuAwI57imbY"",
  ""3J09CUIwVKc6criZNupdV2"",
  ""1iLsaxKiYHWFQkrGnI5NXJ"",
  ""0kQ03gmu3PYtHLClXJCLU1"",
  ""5Tx8LZ1LyM9U1jwvqEsfd4"",
  ""3GMD6GygTBCgbCvCGKeUGL"",
  ""0h6rv1AfgZMV8xntVrHebF"",
  ""65RNGh1abR3eBmXuegJL2A"",
  ""4HSpAO8gLwYiZOwYKnIAVG"",
  ""4pVPym127xHcDQp7NZePN1"",
  ""6Th02beuTYezzBp8mXQISn""
]","[
  ""Pop"",
  ""Dance"",
  ""Electronic""
]"
740365,134183,Downtown Radio,,,Belfast,GB,TRUE,Sweet Feelin',GBRKQ2206618,Sweet Feelin',"Dynamique, Boogietraxx",5,"[
  22288802
]","[
  ""Others""
]",3898206,FR,"[
  ""2CMUIHJ41MQbfrEoG6Jsof""
]","[
  ""60glvY3lkcKMuT5OkltGPV"",
  ""3HrT4BHXxvlPrfP8SVst0t"",
  ""5C4iLdHnSCqsNJP2CXZEnb"",
  ""0kcKyuop7MV4SrKlhKAFqj"",
  ""5rrfwaB9pKuV8NUiVsZWwW"",
  ""20lplDaYmw4f3vipYyN7UE"",
  ""51GeH4yQKBXsx2kgc5I129"",
  ""1dqlfiO9Mb9kLighqxq8dZ"",
  ""20yglF8snDfJjVnkEHSOtP"",
  ""0FpFQvwviIwdsx7dH0bwaE"",
  ""4w2dUj04ChLVBJLCSrkryR"",
  ""5MY8I2qrKtxJwKcxJqbaP7"",
  ""7LkO00oTDEuft3PYUpfo6t"",
  ""643hJ6EyCFs4YEYhPwk9Af"",
  ""5310Me9XYJCkEjNg1LCPn5"",
  ""62yClDQOuPrjPmHBegzqrF"",
  ""0c3GuAopQq7755w5qV3IEC"",
  ""3KIoRRStpaPgCtJC05uSM3"",
  ""12buVzpCDWsPfQlGFwfF5g"",
  ""1NKL1kJk51g7KTAumkwCkX""
]","[
  ""Dance"",
  ""Electronic"",
  ""House""
]"
1295767,202265,WLHK 97.1 Hank FM (US ONLY),Country,Indianapolis,Shelbyville,US,TRUE,Levels,QMCAL2100033,The Magic of Now,Orrin Evans,22,"[
  12662936,
  22680606,
  23637172
]","[
  ""Jazz""
]",83069,US,"[
  ""1E4jlqY2HEXKLT0YkNy3HL""
]","[
  ""7mN9uLkwc857ZRZVSxAY6R"",
  ""4dB51YWbPAWssQkEe9DiUc"",
  ""3AFXTkGYYzu4TcOTVRpd0K"",
  ""12WGIS6hNRIywU3FJSGOiB"",
  ""728obCMssc3nIbC1qyaWJq"",
  ""2lcAR2q7nM4FNKG4SbaKVY"",
  ""5sx4LyraGhj3dBFAN0Vx9u"",
  ""5rECEZfFS5a06goUq2vL1c"",
  ""5EKXN5TohOAPNKy3crMBI4"",
  ""2XeV55IyaL6jSh1yOlVOHG"",
  ""7nO0nJPGNCS2JIL91ifpJ8"",
  ""5oL30GXMiPkJpEQ99Q7Cdh"",
  ""2kUPNaq8pnJ4Q7TYoFme5t"",
  ""4YozGMNyLJYo3Iq53bDUSs"",
  ""4dFMnksV445NMDiYjurHPz"",
  ""1gam3nB9smXwsHKjVffhuM"",
  ""6Uipo5JiSrwG7oeHHE1E3Q"",
  ""3HIiSgXxugDR6W7DiJ6zEK"",
  ""6irgTihe067FUGoHDzd3mC"",
  ""1slCkSS7B9eyPOzgG5lLE7""
]","[
  ""Jazz""
]"
1008817,200492,KEZR Mix 106.5 FM,,,San Jose,US,TRUE,Lied Zum Widerstand,TCAEY2071676,Lied Zum Widerstand,Nikolai Freimann,251,"[
  9204520
]","[
  ""Hip-Hop/Rap"",
  ""Rock""
]",4949705,DE,"[
  ""0UHQ2ajznua2BBpJC0kNYW""
]","[
  ""2lEY0iMPdZhkeabGangJiU"",
  ""2T1qeg86ySd9q7vTGKlt1y"",
  ""6nDHO8ND8bqbzxQHk9xu9j"",
  ""5qdJcxACdBXJtb25nvFEnF"",
  ""0Wi32Q1DHWJFkBc2Vir9UB"",
  ""3CaRHLXAZaBGOaivH3FqOo"",
  ""3GCFo6yPWXmK1BovxlR2nZ"",
  ""23Cu92WKsjW6XgJAwbZndM"",
  ""00tPOf3ibcMZ9cmuM4V2k7"",
  ""11MCBmow3QZReZ5NA0Kxf9"",
  ""1i4qgA0LbYiYVwCFr7icpr"",
  ""6lmETXwmLyzR9KYnZtLBQc"",
  ""5NZVO7Xyv07VWlZIsPxDOW"",
  ""4q9DEVoevel6kh76Spe8GL"",
  ""6vLreJ3ulOsng6VkPtBzln"",
  ""10LJP1XVyYXcaJwWoztKxn"",
  ""0V61hY3dzTrJlGq1bSYgmU"",
  ""1tXh9MWUfOUE2tJ1Y6GabR"",
  ""0wMsg889ikgAYABohPn54u""
]","[
  ""Pop"",
  ""Hip-Hop/Rap"",
  ""Rock""
]"
